104.75 28.60 0.00 4.7990
104.80 28.60 0.00 4.3850
104.85 28.60 0.00 4.5730
104.90 28.60 0.00 4.5290
104.95 28.60 0.00 4.2540
105.00 28.60 0.00 4.7510
104.70 28.65 0.00 4.3600
104.75 28.65 0.00 4.7500
104.80 28.65 0.00 4.6750
104.90 28.65 0.00 4.6300
104.60 27.80 1.50 5.2880
104.55 27.85 1.50 5.6240
104.60 27.85 1.50 5.6280
104.55 27.90 1.50 5.3890
104.60 27.90 1.50 5.1720
104.65 27.90 1.50 5.1010
104.85 27.90 1.50 5.4990
104.60 27.95 1.50 5.4830
104.65 27.95 1.50 5.5760
104.70 27.95 1.50 5.7920
104.75 27.95 1.50 5.2870
104.80 27.95 1.50 5.6300
104.85 27.95 1.50 5.3810
104.90 27.95 1.50 5.3220
104.50 28.00 1.50 5.4680
104.55 28.00 1.50 5.5260
104.60 28.00 1.50 5.3430
104.65 28.00 1.50 5.3250
104.70 28.00 1.50 5.1930
104.75 28.00 1.50 5.1020
104.80 28.00 1.50 5.4200
104.85 28.00 1.50 5.2050
104.90 28.00 1.50 5.2650
104.95 28.00 1.50 5.5410
105.00 28.00 1.50 5.5260
104.45 28.05 1.50 5.3570
104.50 28.05 1.50 5.3590
104.55 28.05 1.50 5.1340
104.60 28.05 1.50 5.2600
104.65 28.05 1.50 5.2540
104.70 28.05 1.50 5.1830
104.75 28.05 1.50 4.9340
104.80 28.05 1.50 5.0170
104.85 28.05 1.50 5.2490
104.90 28.05 1.50 5.2220
104.95 28.05 1.50 5.8590
105.00 28.05 1.50 4.8720
105.05 28.05 1.50 5.2210
104.45 28.10 1.50 5.1730
104.50 28.10 1.50 5.2210
104.55 28.10 1.50 5.4800
104.60 28.10 1.50 5.4050
104.65 28.10 1.50 5.0980
104.70 28.10 1.50 5.1200
104.75 28.10 1.50 5.2020
104.80 28.10 1.50 5.4810
104.85 28.10 1.50 5.4130
104.90 28.10 1.50 5.3800
104.95 28.10 1.50 5.3720
105.00 28.10 1.50 5.3390
105.05 28.10 1.50 4.9200
104.40 28.15 1.50 5.4140
104.45 28.15 1.50 5.3670
104.50 28.15 1.50 5.3570
104.55 28.15 1.50 5.4590
104.60 28.15 1.50 5.7650
104.65 28.15 1.50 5.2240
104.70 28.15 1.50 5.2750
104.75 28.15 1.50 5.5250
104.80 28.15 1.50 5.1730
104.85 28.15 1.50 5.2540
104.90 28.15 1.50 5.2330
104.95 28.15 1.50 5.4740
105.00 28.15 1.50 5.4480
105.05 28.15 1.50 5.4490
105.10 28.15 1.50 5.1990
104.45 28.20 1.50 5.1960
104.50 28.20 1.50 5.2360
104.55 28.20 1.50 5.5230
104.60 28.20 1.50 5.3550
104.65 28.20 1.50 5.2850
104.70 28.20 1.50 5.4020
104.75 28.20 1.50 5.4060
104.80 28.20 1.50 5.3240
104.85 28.20 1.50 5.3210
104.90 28.20 1.50 5.2550
104.95 28.20 1.50 5.1200
105.00 28.20 1.50 4.9990
105.05 28.20 1.50 5.4780
105.10 28.20 1.50 5.5720
104.45 28.25 1.50 4.9730
104.50 28.25 1.50 4.7570
104.55 28.25 1.50 5.0360
104.60 28.25 1.50 5.0470
104.65 28.25 1.50 5.2960
104.70 28.25 1.50 4.8780
104.75 28.25 1.50 5.0690
104.80 28.25 1.50 5.0500
104.85 28.25 1.50 5.2250
104.90 28.25 1.50 4.9980
104.95 28.25 1.50 5.3090
105.00 28.25 1.50 5.3160
105.05 28.25 1.50 5.5820
105.10 28.25 1.50 6.1610
104.45 28.30 1.50 5.0240
104.50 28.30 1.50 5.2500
104.55 28.30 1.50 5.2810
104.60 28.30 1.50 5.1480
104.65 28.30 1.50 5.0670
104.70 28.30 1.50 4.9540
104.75 28.30 1.50 5.1400
104.80 28.30 1.50 5.2390
104.85 28.30 1.50 5.4850
104.90 28.30 1.50 5.3580
104.95 28.30 1.50 4.8430
105.00 28.30 1.50 5.7180
